V1,V2,V3,V4,V5,V6,V7,V8
"""1""","""3121111""","""63""","""41""","""15""","""1""","""2""","""1"""
"""2""","""55967023""","""57""","""30""","""14""","""4""","""1""","""3"""
"""3""","""38640037""","""56""","""34""","""11""","""6""","""2""","""1"""
"""4""","""58013611""","""43""","""32""","""13""","""6""","""2""","""2"""
"""5""","""7716049""","""73""","""42""","""11""","""5""","""2""","""3"""
"""6""","""41753136""","""NA""","""38""","""20""","""4""","""2""","""3"""
"""7""","""40280178""","""31""","""35""","""16""","""5""","""2""","""3"""
"""8""","""55370135""","""45""","""39""","""13""","""7""","""2""","""3"""
"""9""","""33479082""","""48""","""39""","""NA""","""6""","""2""","""2"""
"""10""","""17738136""","""32""","""38""","""13""","""6""","""2""","""1"""
"""11""","""26004334""","""30""","""37""","""14""","""6""","""2""","""2"""
"""12""","""20621690""","""45""","""39""","""NA""","""4""","""2""","""1"""
"""14""","""38722963""","""64""","""31""","""6""","""7""","""2""","""NA"""
"""15""","""42177809""","""43""","""36""","""15""","""3""","""1""","""3"""
"""16""","""18975704""","""54""","""34""","""13""","""1""","""1""","""1"""
"""17""","""58471511""","""45""","""35""","""18""","""5""","""2""","""3"""
"""18""","""40633542""","""NA""","""36""","""15""","""1""","""NA""","""3"""
"""19""","""22530844""","""31""","""41""","""19""","""6""","""2""","""3"""
"""20""","""64186803""","""54""","""38""","""21""","""NA""","""2""","""5"""
"""21""","""88474926""","""34""","""NA""","""18""","""5""","""2""","""5"""
"""22""","""56341704""","""52""","""30""","""14""","""5""","""2""","""2"""
"""23""","""22588897""","""48""","""40""","""21""","""5""","""1""","""2"""
"""24""","""50757709""","""45""","""37""","""25""","""6""","""2""","""3"""
"""25""","""19506944""","""43""","""41""","""12""","""6""","""2""","""1"""
"""26""","""32864741""","""60""","""33""","""12""","""2""","""NA""","""2"""
"""27""","""85778469""","""54""","""38""","""20""","""7""","""2""","""5"""
"""28""","""60710069""","""48""","""32""","""18""","""5""","""1""","""3"""
"""29""","""32673926""","""60""","""39""","""14""","""7""","""2""","""2"""
"""30""","""52313074""","""46""","""33""","""16""","""2""","""2""","""3"""
"""31""","""7654444""","""33""","""38""","""13""","""2""","""1""","""1"""
"""32""","""42004801""","""47""","""39""","""21""","""5""","""2""","""3"""
"""33""","""26488178""","""25""","""29""","""19""","""3""","""2""","""3"""
"""34""","""62138185""","""NA""","""40""","""18""","""5""","""1""","""5"""
"""35""","""5251736""","""28""","""41""","""11""","""5""","""2""","""1"""
"""36""","""38536505""","""35""","""31""","""17""","""4""","""2""","""2"""
"""37""","""13776469""","""72""","""41""","""25""","""3""","""1""","""5"""
"""38""","""79764746""","""67""","""34""","""15""","""4""","""2""","""6"""
"""39""","""37474803""","""36""","""35""","""15""","""5""","""2""","""2"""
"""40""","""6905216""","""63""","""40""","""17""","""3""","""2""","""NA"""
"""41""","""44548209""","""35""","""36""","""17""","""5""","""2""","""3"""
"""42""","""34313560""","""NA""","""40""","""14""","""5""","""1""","""3"""
"""43""","""26947635""","""31""","""39""","""18""","""NA""","""2""","""3"""
"""44""","""2861736""","""68""","""41""","""19""","""1""","""2""","""2"""
"""45""","""34489519""","""44""","""40""","""19""","""4""","""2""","""3"""
"""46""","""50852746""","""39""","""34""","""11""","""4""","""1""","""3"""
"""47""","""58361111""","""54""","""37""","""18""","""7""","""2""","""NA"""
"""48""","""37081334""","""42""","""36""","""14""","""7""","""2""","""1"""
"""49""","""56968949""","""59""","""31""","""13""","""5""","""1""","""3"""
"""50""","""50220844""","""37""","""38""","""19""","""1""","""NA""","""5"""
