V1,V2,V3,V4,V5,V6,V7,V8
"""1""","""35336420""","""53""","""36""","""6""","""5""","""2""","""1"""
"""2""","""64498746""","""47""","""25""","""11""","""4""","""1""","""3"""
"""3""","""50718136""","""46""","""29""","""4""","""5""","""2""","""1"""
"""4""","""63991111""","""56""","""27""","""7""","""6""","""2""","""NA"""
"""5""","""55345334""","""54""","""37""","""10""","""5""","""2""","""3"""
"""6""","""65574005""","""49""","""33""","""11""","""4""","""2""","""3"""
"""7""","""62664815""","""50""","""30""","""9""","""2""","""2""","""3"""
"""8""","""60701412""","""35""","""34""","""9""","""6""","""2""","""3"""
"""9""","""45780260""","""50""","""34""","""NA""","""3""","""2""","""2"""
"""10""","""48341119""","""48""","""33""","""6""","""6""","""2""","""1"""
"""11""","""50220844""","""47""","""32""","""8""","""3""","""2""","""2"""
"""12""","""37284593""","""44""","""34""","""6""","""4""","""2""","""1"""
"""13""","""33152005""","""35""","""40""","""12""","""NA""","""2""","""3"""
"""14""","""54267778""","""53""","""26""","""NA""","""6""","""2""","""1"""
"""15""","""56366727""","""55""","""31""","""9""","""3""","""1""","""3"""
"""16""","""29939136""","""50""","""29""","""5""","""1""","""1""","""1"""
"""17""","""75796371""","""54""","""30""","""8""","""5""","""2""","""NA"""
"""18""","""54357852""","""42""","""31""","""9""","""1""","""2""","""3"""
"""19""","""65601000""","""40""","""36""","""11""","""7""","""2""","""NA"""
"""20""","""90778549""","""NA""","""33""","""14""","""3""","""2""","""5"""
"""21""","""111431482""","""54""","""25""","""11""","""5""","""2""","""5"""
"""22""","""60701412""","""51""","""NA""","""9""","""5""","""2""","""2"""
"""23""","""33196803""","""34""","""35""","""9""","""5""","""1""","""2"""
"""24""","""72448469""","""42""","""32""","""14""","""6""","""2""","""3"""
"""25""","""37508820""","""45""","""36""","""4""","""5""","""2""","""1"""
"""26""","""51472653""","""61""","""28""","""7""","""5""","""2""","""2"""
"""27""","""119525630""","""50""","""33""","""12""","""7""","""2""","""5"""
"""28""","""70971264""","""51""","""27""","""10""","""5""","""1""","""3"""
"""29""","""48875635""","""51""","""34""","""9""","""4""","""2""","""2"""
"""30""","""61849486""","""NA""","""28""","""12""","""2""","""2""","""3"""
"""31""","""40294283""","""49""","""33""","""4""","""5""","""1""","""1"""
"""32""","""65871260""","""46""","""34""","""13""","""5""","""2""","""3"""
"""33""","""66142074""","""50""","""24""","""9""","""3""","""2""","""3"""
"""34""","""77821803""","""36""","""35""","""13""","""5""","""1""","""5"""
"""35""","""24398111""","""32""","""36""","""3""","""5""","""2""","""1"""
"""36""","""56500278""","""53""","""26""","""8""","""4""","""2""","""2"""
"""37""","""73864475""","""53""","""36""","""13""","""3""","""1""","""5"""
"""38""","""117108469""","""60""","""29""","""10""","""4""","""2""","""6"""
"""39""","""61013457""","""43""","""30""","""7""","""5""","""2""","""2"""
"""40""","""40534444""","""43""","""35""","""8""","""6""","""2""","""1"""
"""41""","""83225074""","""54""","""31""","""10""","""7""","""2""","""3"""
"""42""","""56500278""","""53""","""35""","""11""","""5""","""1""","""3"""
"""43""","""58999468""","""37""","""NA""","""10""","""5""","""2""","""3"""
"""44""","""30685445""","""NA""","""36""","""9""","""1""","""2""","""2"""
"""45""","""64186803""","""44""","""35""","""10""","""NA""","""2""","""3"""
"""46""","""65880278""","""53""","""NA""","""8""","""4""","""1""","""3"""
"""47""","""78263511""","""51""","""NA""","""10""","""6""","""2""","""3"""
"""48""","""55171883""","""53""","""31""","""5""","""7""","""2""","""1"""
"""49""","""69583403""","""48""","""26""","""NA""","""5""","""1""","""3"""
"""50""","""82315297""","""44""","""33""","""12""","""1""","""2""","""5"""
