V1,V2,V3,V4,V5,V6,V7,V8
"""2""","""36737068""","""63""","""34""","""18""","""NA""","""1""","""3"""
"""3""","""11503403""","""58""","""38""","""21""","""2""","""2""","""1"""
"""4""","""43420778""","""52""","""36""","""20""","""6""","""2""","""2"""
"""5""","""6098156""","""58""","""46""","""15""","""2""","""2""","""3"""
"""6""","""21834852""","""42""","""42""","""26""","""4""","""2""","""3"""
"""8""","""17987023""","""31""","""43""","""19""","""7""","""2""","""3"""
"""9""","""16452037""","""52""","""43""","""24""","""6""","""2""","""2"""
"""10""","""5052505""","""49""","""42""","""20""","""1""","""2""","""1"""
"""11""","""1235803""","""22""","""41""","""21""","""4""","""2""","""NA"""
"""12""","""3445148""","""52""","""43""","""18""","""1""","""2""","""1"""
"""14""","""23733136""","""56""","""35""","""10""","""2""","""2""","""1"""
"""15""","""35973338""","""39""","""40""","""20""","""7""","""1""","""3"""
"""16""","""15106178""","""49""","""NA""","""19""","""3""","""1""","""1"""
"""17""","""27103593""","""62""","""39""","""27""","""5""","""2""","""3"""
"""18""","""14613630""","""72""","""40""","""22""","""7""","""2""","""3"""
"""19""","""4793667""","""34""","""45""","""27""","""3""","""2""","""3"""
"""20""","""22541394""","""27""","""42""","""30""","""5""","""2""","""5"""
"""21""","""60701412""","""31""","""34""","""25""","""4""","""2""","""5"""
"""22""","""46664079""","""49""","""34""","""19""","""5""","""2""","""2"""
"""23""","""1137778""","""33""","""44""","""NA""","""3""","""1""","""2"""
"""24""","""29611736""","""38""","""41""","""30""","""7""","""2""","""3"""
"""25""","""901445""","""40""","""45""","""19""","""2""","""2""","""1"""
"""26""","""16723556""","""64""","""37""","""17""","""NA""","""2""","""2"""
"""27""","""41059616""","""51""","""42""","""22""","""2""","""2""","""5"""
"""28""","""47120598""","""47""","""36""","""22""","""5""","""1""","""3"""
"""29""","""1234568""","""73""","""43""","""22""","""6""","""2""","""2"""
"""30""","""39368653""","""45""","""37""","""NA""","""2""","""2""","""3"""
"""32""","""21078301""","""45""","""43""","""28""","""NA""","""2""","""3"""
"""33""","""31447172""","""35""","""33""","""26""","""1""","""2""","""3"""
"""34""","""20130178""","""57""","""44""","""28""","""NA""","""1""","""5"""
"""35""","""524820""","""31""","""45""","""19""","""5""","""2""","""1"""
"""36""","""8801111""","""23""","""35""","""NA""","""4""","""2""","""NA"""
"""37""","""2233364""","""73""","""45""","""30""","""3""","""1""","""5"""
"""38""","""41173611""","""73""","""38""","""NA""","""4""","""2""","""6"""
"""39""","""8015190""","""27""","""39""","""24""","""4""","""2""","""2"""
"""40""","""2021136""","""56""","""44""","""25""","""3""","""2""","""1"""
"""41""","""31391119""","""38""","""40""","""22""","""5""","""2""","""3"""
"""42""","""12864178""","""49""","""44""","""20""","""3""","""1""","""3"""
"""43""","""21308482""","""40""","""43""","""22""","""5""","""2""","""3"""
"""44""","""80291556""","""94""","""45""","""26""","""1""","""2""","""2"""
"""45""","""10186736""","""38""","""44""","""26""","""3""","""2""","""NA"""
"""46""","""24124469""","""34""","""38""","""NA""","""2""","""1""","""3"""
"""47""","""36743803""","""54""","""NA""","""24""","""7""","""2""","""3"""
"""48""","""15192672""","""49""","""40""","""20""","""4""","""2""","""1"""
"""49""","""49867136""","""52""","""35""","""21""","""5""","""1""","""3"""
"""50""","""26345408""","""36""","""42""","""28""","""1""","""2""","""5"""
