V1,V2,V3,V4,V5,V6,V7,V8
"""1""","""20155111""","""64""","""37""","""NA""","""5""","""2""","""1"""
"""2""","""64588011""","""49""","""26""","""12""","""4""","""1""","""3"""
"""3""","""47074846""","""43""","""30""","""6""","""5""","""2""","""1"""
"""4""","""69129986""","""49""","""28""","""NA""","""6""","""2""","""2"""
"""5""","""49303803""","""56""","""38""","""10""","""5""","""2""","""3"""
"""6""","""61875704""","""46""","""34""","""12""","""4""","""2""","""3"""
"""7""","""60105563""","""48""","""31""","""11""","""2""","""2""","""3"""
"""8""","""63786844""","""39""","""35""","""10""","""6""","""2""","""3"""
"""9""","""41430678""","""47""","""35""","""11""","""NA""","""2""","""2"""
"""10""","""40846301""","""41""","""34""","""9""","""6""","""2""","""1"""
"""11""","""44525963""","""42""","""33""","""10""","""NA""","""2""","""2"""
"""12""","""32452011""","""41""","""35""","""7""","""4""","""2""","""1"""
"""13""","""23152136""","""32""","""41""","""15""","""5""","""2""","""3"""
"""14""","""42764334""","""62""","""27""","""3""","""6""","""2""","""1"""
"""15""","""54194136""","""54""","""32""","""11""","""3""","""1""","""3"""
"""16""","""28420746""","""47""","""30""","""7""","""1""","""1""","""1"""
"""17""","""74352297""","""52""","""NA""","""10""","""5""","""2""","""3"""
"""18""","""52731803""","""44""","""32""","""11""","""1""","""2""","""3"""
"""19""","""49553778""","""34""","""37""","""14""","""7""","""2""","""3"""
"""20""","""85768179""","""43""","""34""","""16""","""3""","""2""","""5"""
"""21""","""110495136""","""54""","""26""","""13""","""5""","""2""","""5"""
"""22""","""57330136""","""56""","""26""","""9""","""5""","""2""","""2"""
"""23""","""40633542""","""45""","""36""","""11""","""5""","""1""","""2"""
"""24""","""63167172""","""39""","""33""","""18""","""NA""","""2""","""3"""
"""25""","""34509098""","""51""","""37""","""4""","""5""","""2""","""NA"""
"""26""","""51074844""","""61""","""29""","""7""","""5""","""2""","""2"""
"""27""","""109539482""","""NA""","""34""","""12""","""7""","""2""","""5"""
"""28""","""54603889""","""62""","""28""","""12""","""5""","""1""","""3"""
"""29""","""45113611""","""53""","""35""","""NA""","""4""","""NA""","""2"""
"""30""","""59546944""","""43""","""29""","""12""","""2""","""2""","""3"""
"""31""","""33421246""","""39""","""34""","""4""","""5""","""1""","""1"""
"""32""","""50718136""","""36""","""35""","""15""","""5""","""2""","""3"""
"""33""","""65466079""","""45""","""25""","""11""","""3""","""2""","""3"""
"""34""","""80810111""","""42""","""36""","""16""","""5""","""1""","""5"""
"""35""","""16928653""","""29""","""37""","""4""","""NA""","""2""","""1"""
"""36""","""56091778""","""52""","""27""","""10""","""4""","""2""","""2"""
"""37""","""66331975""","""53""","""37""","""17""","""3""","""1""","""5"""
"""38""","""120694637""","""58""","""30""","""10""","""4""","""NA""","""6"""
"""39""","""60571630""","""50""","""31""","""8""","""5""","""2""","""2"""
"""40""","""36474889""","""54""","""36""","""9""","""6""","""2""","""NA"""
"""41""","""66205344""","""39""","""32""","""11""","""5""","""2""","""3"""
"""42""","""53867445""","""44""","""36""","""11""","""5""","""1""","""3"""
"""43""","""51074844""","""35""","""35""","""NA""","""5""","""2""","""3"""
"""44""","""26004334""","""56""","""37""","""10""","""1""","""2""","""2"""
"""45""","""53574267""","""38""","""36""","""11""","""5""","""2""","""3"""
"""46""","""63061246""","""55""","""30""","""8""","""4""","""1""","""3"""
"""47""","""73921783""","""57""","""33""","""11""","""7""","""2""","""3"""
"""48""","""54341469""","""NA""","""32""","""6""","""7""","""2""","""1"""
"""49""","""67888445""","""52""","""27""","""13""","""5""","""1""","""3"""
"""50""","""79764746""","""47""","""34""","""13""","""1""","""2""","""5"""
