V1,V2,V3,V4,V5,V6,V7,V8
"""1""","""8536136""","""70""","""38""","""10""","""5""","""2""","""1"""
"""2""","""64311489""","""NA""","""27""","""13""","""4""","""1""","""3"""
"""3""","""47648341""","""48""","""31""","""6""","""5""","""2""","""1"""
"""4""","""60710069""","""38""","""29""","""7""","""6""","""2""","""2"""
"""5""","""36676482""","""62""","""39""","""10""","""5""","""2""","""3"""
"""6""","""55676469""","""44""","""35""","""15""","""4""","""2""","""3"""
"""7""","""72023511""","""47""","""NA""","""12""","""5""","""2""","""3"""
"""8""","""64793556""","""46""","""36""","""NA""","""6""","""2""","""3"""
"""9""","""49342820""","""51""","""36""","""12""","""6""","""2""","""2"""
"""10""","""29286136""","""34""","""35""","""10""","""6""","""2""","""1"""
"""11""","""38826746""","""39""","""34""","""11""","""3""","""2""","""2"""
"""12""","""30134000""","""42""","""36""","""8""","""4""","""2""","""1"""
"""13""","""6389660""","""23""","""42""","""16""","""NA""","""2""","""3"""
"""14""","""52409556""","""54""","""28""","""5""","""6""","""2""","""1"""
"""15""","""50520505""","""55""","""33""","""12""","""3""","""1""","""3"""
"""16""","""35674074""","""52""","""31""","""9""","""4""","""1""","""1"""
"""17""","""71769136""","""50""","""32""","""12""","""NA""","""2""","""3"""
"""18""","""51592297""","""50""","""33""","""11""","""1""","""2""","""3"""
"""19""","""45046469""","""34""","""38""","""15""","""7""","""2""","""3"""
"""20""","""62594469""","""32""","""35""","""16""","""3""","""2""","""5"""
"""21""","""113943764""","""51""","""27""","""13""","""5""","""2""","""5"""
"""22""","""49342820""","""61""","""27""","""10""","""5""","""2""","""2"""
"""23""","""35277000""","""44""","""37""","""14""","""5""","""1""","""2"""
"""24""","""51209926""","""34""","""34""","""19""","""6""","""2""","""3"""
"""25""","""31210844""","""47""","""38""","""5""","""5""","""2""","""1"""
"""26""","""30703912""","""65""","""30""","""8""","""2""","""2""","""2"""
"""27""","""107467778""","""53""","""35""","""14""","""7""","""2""","""5"""
"""28""","""50646944""","""63""","""NA""","""14""","""5""","""1""","""3"""
"""29""","""42112889""","""52""","""36""","""10""","""4""","""2""","""2"""
"""30""","""60545690""","""47""","""30""","""12""","""2""","""2""","""3"""
"""31""","""25874178""","""47""","""35""","""4""","""NA""","""1""","""1"""
"""32""","""53867445""","""42""","""36""","""17""","""5""","""2""","""3"""
"""33""","""63149511""","""45""","""26""","""15""","""3""","""2""","""3"""
"""34""","""78312667""","""50""","""37""","""17""","""5""","""1""","""5"""
"""35""","""22530844""","""NA""","""38""","""5""","""5""","""NA""","""1"""
"""36""","""54382431""","""45""","""28""","""13""","""4""","""2""","""2"""
"""37""","""58701136""","""54""","""38""","""20""","""3""","""1""","""5"""
"""38""","""105529963""","""62""","""31""","""13""","""4""","""2""","""6"""
"""39""","""58089803""","""50""","""32""","""9""","""5""","""NA""","""2"""
"""40""","""28243320""","""59""","""37""","""10""","""6""","""NA""","""1"""
"""41""","""69019172""","""45""","""33""","""12""","""5""","""2""","""3"""
"""42""","""51114556""","""46""","""37""","""11""","""5""","""NA""","""3"""
"""43""","""51329264""","""NA""","""36""","""NA""","""5""","""2""","""3"""
"""44""","""23008011""","""55""","""38""","""12""","""1""","""2""","""2"""
"""45""","""47947931""","""41""","""37""","""13""","""4""","""2""","""3"""
"""46""","""65655008""","""48""","""31""","""8""","""4""","""1""","""3"""
"""47""","""71675037""","""56""","""34""","""12""","""7""","""2""","""3"""
"""48""","""50378449""","""47""","""33""","""9""","""7""","""2""","""1"""
"""49""","""65196653""","""55""","""28""","""13""","""5""","""1""","""3"""
"""50""","""75197803""","""46""","""35""","""14""","""1""","""NA""","""5"""
