V1,V2,V3,V4,V5,V6,V7,V8
"""1""","""824060""","""65""","""42""","""18""","""1""","""2""","""1"""
"""2""","""58948272""","""53""","""31""","""14""","""4""","""1""","""NA"""
"""3""","""34066678""","""57""","""35""","""13""","""6""","""2""","""1"""
"""4""","""53623074""","""42""","""33""","""15""","""6""","""2""","""2"""
"""5""","""5574846""","""73""","""43""","""11""","""5""","""2""","""3"""
"""6""","""36073371""","""42""","""39""","""21""","""4""","""2""","""3"""
"""7""","""34803445""","""30""","""36""","""17""","""5""","""2""","""3"""
"""8""","""43596674""","""38""","""40""","""14""","""7""","""2""","""3"""
"""9""","""27277408""","""54""","""40""","""22""","""6""","""2""","""2"""
"""10""","""15690401""","""33""","""39""","""15""","""NA""","""2""","""1"""
"""11""","""26129136""","""32""","""38""","""15""","""6""","""2""","""2"""
"""12""","""17916408""","""50""","""40""","""13""","""4""","""2""","""1"""
"""14""","""38646944""","""63""","""32""","""7""","""7""","""2""","""1"""
"""15""","""37142253""","""43""","""37""","""18""","""3""","""1""","""3"""
"""16""","""17822469""","""50""","""35""","""15""","""1""","""1""","""1"""
"""17""","""51472653""","""55""","""36""","""19""","""5""","""2""","""NA"""
"""18""","""34509098""","""55""","""37""","""16""","""1""","""2""","""3"""
"""19""","""25328852""","""36""","""42""","""20""","""6""","""2""","""3"""
"""20""","""60623526""","""48""","""39""","""23""","""3""","""2""","""5"""
"""21""","""60571630""","""26""","""31""","""20""","""NA""","""2""","""5"""
"""22""","""55618449""","""51""","""31""","""14""","""5""","""NA""","""2"""
"""23""","""18375511""","""NA""","""NA""","""23""","""5""","""1""","""2"""
"""24""","""48464803""","""42""","""38""","""26""","""7""","""2""","""3"""
"""25""","""16062283""","""51""","""42""","""14""","""6""","""2""","""1"""
"""26""","""30427482""","""60""","""34""","""13""","""2""","""2""","""2"""
"""27""","""83103482""","""50""","""39""","""20""","""7""","""2""","""5"""
"""28""","""56742741""","""46""","""33""","""20""","""5""","""1""","""3"""
"""29""","""3268060""","""71""","""40""","""17""","""2""","""2""","""2"""
"""30""","""50142135""","""49""","""34""","""16""","""2""","""2""","""3"""
"""31""","""8916860""","""38""","""39""","""15""","""2""","""1""","""1"""
"""32""","""35495116""","""51""","""40""","""24""","""5""","""2""","""3"""
"""33""","""40400148""","""32""","""30""","""21""","""3""","""2""","""3"""
"""34""","""53533611""","""53""","""41""","""20""","""5""","""1""","""5"""
"""35""","""2552894""","""27""","""42""","""13""","""5""","""2""","""1"""
"""36""","""32680278""","""33""","""32""","""19""","""4""","""2""","""2"""
"""37""","""8867160""","""73""","""NA""","""27""","""3""","""1""","""5"""
"""38""","""72108403""","""68""","""NA""","""16""","""NA""","""2""","""6"""
"""39""","""36777486""","""39""","""36""","""18""","""5""","""2""","""NA"""
"""40""","""3848136""","""64""","""41""","""20""","""3""","""2""","""1"""
"""41""","""33344209""","""31""","""NA""","""18""","""5""","""NA""","""3"""
"""42""","""27422678""","""39""","""41""","""16""","""5""","""1""","""3"""
"""43""","""24728519""","""32""","""40""","""19""","""5""","""2""","""3"""
"""44""","""2243338""","""67""","""42""","""19""","""1""","""2""","""2"""
"""45""","""30103511""","""49""","""41""","""21""","""4""","""2""","""3"""
"""46""","""53241344""","""45""","""35""","""11""","""4""","""1""","""3"""
"""47""","""53533611""","""NA""","""NA""","""20""","""7""","""2""","""3"""
"""48""","""31353778""","""40""","""37""","""16""","""7""","""2""","""1"""
"""49""","""63149511""","""51""","""32""","""14""","""5""","""1""","""3"""
"""50""","""47832593""","""40""","""39""","""22""","""1""","""2""","""5"""
