V1,V2,V3,V4,V5,V6,V7,V8
"""2""","""45330297""","""60""","""33""","""16""","""4""","""NA""","""3"""
"""3""","""12956000""","""60""","""37""","""18""","""2""","""2""","""1"""
"""4""","""45517511""","""41""","""35""","""18""","""6""","""2""","""2"""
"""5""","""8552375""","""65""","""NA""","""15""","""5""","""2""","""NA"""
"""6""","""26694444""","""43""","""41""","""25""","""4""","""2""","""3"""
"""8""","""24233741""","""32""","""42""","""NA""","""7""","""2""","""3"""
"""9""","""20455519""","""52""","""42""","""23""","""6""","""2""","""2"""
"""10""","""4565344""","""37""","""41""","""18""","""1""","""2""","""1"""
"""11""","""7550283""","""27""","""40""","""NA""","""4""","""2""","""2"""
"""12""","""4962994""","""53""","""42""","""18""","""1""","""2""","""1"""
"""14""","""14562704""","""66""","""34""","""9""","""2""","""2""","""1"""
"""15""","""28687926""","""42""","""39""","""20""","""3""","""1""","""3"""
"""16""","""18270875""","""45""","""37""","""NA""","""3""","""1""","""1"""
"""17""","""42466944""","""53""","""38""","""24""","""5""","""2""","""3"""
"""18""","""10798526""","""68""","""39""","""21""","""1""","""2""","""3"""
"""19""","""7626803""","""34""","""44""","""25""","""3""","""2""","""3"""
"""20""","""34947803""","""34""","""41""","""27""","""3""","""2""","""5"""
"""21""","""62138185""","""30""","""33""","""23""","""4""","""2""","""5"""
"""22""","""50378449""","""49""","""33""","""17""","""5""","""NA""","""2"""
"""23""","""9961037""","""42""","""43""","""26""","""5""","""NA""","""2"""
"""24""","""28866741""","""34""","""40""","""29""","""NA""","""2""","""3"""
"""25""","""2929803""","""42""","""44""","""16""","""2""","""2""","""1"""
"""26""","""25648598""","""59""","""36""","""16""","""2""","""2""","""2"""
"""27""","""69083803""","""52""","""41""","""21""","""7""","""2""","""5"""
"""28""","""51720069""","""48""","""35""","""20""","""5""","""1""","""3"""
"""29""","""2814938""","""73""","""42""","""19""","""6""","""2""","""2"""
"""30""","""41530864""","""43""","""36""","""18""","""NA""","""2""","""3"""
"""32""","""26038341""","""48""","""42""","""27""","""5""","""2""","""3"""
"""33""","""42532136""","""36""","""32""","""25""","""3""","""2""","""3"""
"""34""","""24861304""","""58""","""43""","""25""","""2""","""1""","""5"""
"""35""","""550069""","""28""","""44""","""17""","""5""","""2""","""1"""
"""36""","""11601593""","""24""","""34""","""24""","""4""","""2""","""2"""
"""37""","""4271111""","""73""","""44""","""28""","""3""","""1""","""5"""
"""38""","""66658153""","""67""","""37""","""17""","""4""","""2""","""6"""
"""39""","""24866844""","""39""","""38""","""NA""","""4""","""2""","""2"""
"""40""","""549246""","""65""","""43""","""25""","""3""","""2""","""1"""
"""41""","""35178079""","""37""","""39""","""20""","""NA""","""2""","""3"""
"""42""","""16249857""","""47""","""43""","""20""","""3""","""1""","""3"""
"""43""","""25834630""","""40""","""42""","""21""","""5""","""NA""","""3"""
"""44""","""28765344""","""87""","""44""","""23""","""1""","""2""","""NA"""
"""45""","""22954746""","""51""","""43""","""24""","""5""","""2""","""3"""
"""46""","""33517667""","""34""","""37""","""13""","""4""","""1""","""3"""
"""47""","""43201408""","""52""","""40""","""23""","""7""","""2""","""3"""
"""48""","""16290193""","""48""","""39""","""18""","""3""","""2""","""1"""
"""49""","""52651148""","""54""","""34""","""19""","""5""","""1""","""3"""
"""50""","""28747469""","""34""","""41""","""26""","""1""","""2""","""5"""
