V1,V2,V3,V4,V5,V6,V7,V8
"""1""","""6584926""","""70""","""39""","""11""","""5""","""2""","""1"""
"""2""","""62322253""","""53""","""28""","""13""","""4""","""1""","""3"""
"""3""","""47840278""","""43""","""32""","""7""","""6""","""2""","""1"""
"""4""","""51209926""","""34""","""30""","""9""","""6""","""NA""","""2"""
"""5""","""16465560""","""NA""","""40""","""10""","""5""","""2""","""3"""
"""6""","""45150934""","""38""","""36""","""17""","""4""","""NA""","""3"""
"""7""","""67367616""","""45""","""33""","""14""","""5""","""2""","""3"""
"""8""","""58055934""","""38""","""37""","""12""","""7""","""2""","""3"""
"""9""","""44882556""","""50""","""37""","""14""","""6""","""2""","""2"""
"""10""","""21850431""","""31""","""36""","""NA""","""6""","""2""","""1"""
"""11""","""50575803""","""42""","""35""","""12""","""6""","""2""","""2"""
"""12""","""24151764""","""39""","""37""","""10""","""4""","""2""","""1"""
"""13""","""1359815""","""20""","""43""","""19""","""5""","""2""","""3"""
"""14""","""50220844""","""59""","""29""","""5""","""7""","""2""","""1"""
"""15""","""48387482""","""54""","""34""","""13""","""3""","""1""","""3"""
"""16""","""24717469""","""50""","""32""","""10""","""1""","""1""","""1"""
"""17""","""68025838""","""49""","""33""","""14""","""5""","""2""","""NA"""
"""18""","""46800801""","""51""","""34""","""14""","""1""","""2""","""3"""
"""19""","""28527468""","""35""","""39""","""15""","""3""","""2""","""3"""
"""20""","""76377889""","""42""","""36""","""17""","""3""","""2""","""5"""
"""21""","""113943764""","""45""","""28""","""13""","""5""","""2""","""5"""
"""22""","""42764334""","""64""","""28""","""11""","""5""","""2""","""2"""
"""23""","""30433611""","""53""","""38""","""16""","""5""","""1""","""2"""
"""24""","""49655511""","""35""","""35""","""20""","""6""","""NA""","""3"""
"""25""","""25412801""","""51""","""39""","""9""","""5""","""2""","""1"""
"""26""","""37000185""","""60""","""NA""","""10""","""2""","""2""","""2"""
"""27""","""100890864""","""53""","""36""","""16""","""7""","""2""","""5"""
"""28""","""61091593""","""56""","""30""","""15""","""5""","""1""","""NA"""
"""29""","""37081334""","""54""","""37""","""11""","""4""","""2""","""2"""
"""30""","""55842408""","""54""","""31""","""13""","""2""","""2""","""3"""
"""31""","""20470598""","""41""","""36""","""6""","""2""","""1""","""1"""
"""32""","""48642875""","""41""","""37""","""18""","""5""","""2""","""3"""
"""33""","""53501098""","""37""","""27""","""17""","""3""","""2""","""NA"""
"""34""","""71684444""","""53""","""38""","""17""","""NA""","""1""","""5"""
"""35""","""16901235""","""33""","""39""","""6""","""NA""","""2""","""1"""
"""36""","""43846469""","""36""","""29""","""14""","""NA""","""2""","""2"""
"""37""","""33827148""","""66""","""NA""","""22""","""3""","""1""","""5"""
"""38""","""96268803""","""64""","""32""","""14""","""4""","""2""","""6"""
"""39""","""54727116""","""47""","""33""","""11""","""5""","""2""","""2"""
"""40""","""19330678""","""55""","""38""","""12""","""3""","""2""","""1"""
"""41""","""54259593""","""36""","""34""","""14""","""5""","""2""","""3"""
"""42""","""46058844""","""49""","""38""","""13""","""5""","""1""","""3"""
"""43""","""38993086""","""33""","""37""","""15""","""5""","""2""","""3"""
"""44""","""15453635""","""59""","""39""","""16""","""1""","""2""","""2"""
"""45""","""42206678""","""41""","""38""","""16""","""4""","""2""","""NA"""
"""46""","""62990678""","""47""","""32""","""9""","""4""","""1""","""3"""
"""47""","""66776136""","""56""","""35""","""14""","""7""","""2""","""3"""
"""48""","""45645037""","""44""","""34""","""NA""","""7""","""2""","""1"""
"""49""","""64748844""","""55""","""29""","""13""","""5""","""1""","""3"""
"""50""","""67970864""","""43""","""36""","""16""","""1""","""2""","""5"""
